,Name,Team,Position,Height(inches),Weight(pounds),Age
164,Fernando_Cabrera,CLE,Relief_Pitcher,76,170.0,25.29
346,Scott_Dohmann,TB,Relief_Pitcher,73,181.0,29.04
324,Greg_Norton,TB,Outfielder,73,200.0,34.65
438,Tomo_Ohka,TOR,Starting_Pitcher,73,200.0,30.95
851,Ben_Hendrickson,MLW,Starting_Pitcher,76,190.0,26.07
540,Ryan_O'Malley,CHC,Starting_Pitcher,73,190.0,26.89
850,Chris_Capuano,MLW,Starting_Pitcher,75,210.0,28.53
329,Scott_Kazmir,TB,Starting_Pitcher,72,170.0,23.1
888,Trevor_Hoffman,SD,Relief_Pitcher,72,215.0,39.38
337,Juan_Salas,TB,Relief_Pitcher,74,190.0,28.31
866,Adrian_Gonzalez,SD,First_Baseman,74,220.0,24.81
150,Grady_Sizemore,CLE,Outfielder,74,200.0,24.58
283,Ben_Broussard,SEA,First_Baseman,74,220.0,30.43
84,Garret_Anderson,ANA,Outfielder,75,225.0,34.67
36,Toby_Hall,CWS,Catcher,75,240.0,31.36
459,Luis_Rodriguez,MIN,Third_Baseman,69,180.0,26.67
648,Mike_Stanton,CIN,Relief_Pitcher,73,215.0,39.75
270,Jason_Grilli,DET,Relief_Pitcher,77,210.0,30.3
532,Daryle_Ward,CHC,Outfielder,74,230.0,31.68
821,Antonio_Alfonseca,PHI,Relief_Pitcher,77,250.0,34.87
229,Darrell_Rasner,NYY,Starting_Pitcher,75,210.0,26.13
168,Aaron_Fultz,CLE,Relief_Pitcher,72,205.0,33.49
290,Jose_Guillen,SEA,Outfielder,71,190.0,30.79
18,Hayden_Penn,BAL,Starting_Pitcher,75,185.0,22.38
613,Taylor_Tankersley,FLA,Relief_Pitcher,73,220.0,23.98
